"category","exposure","outcome","n_snps","n_harmonized","extraction_strategy","beta","se","pval","or","or_lci","or_uci","or_95ci","heterogeneity_p","pleiotropy_p","fdr_pval","significant_fdr","significant_nominal"
"Metabolic","ApoA1","Lung adenocarcinoma",284,275,"Standard",-0.0106316414742833,0.0349175272717292,0.76076325790199,0.989424674671551,0.923975248601665,1.05951018528955,"0.989 (0.924-1.060)",0.223866918122934,0.221076872190147,0.945974499060275,FALSE,FALSE
"Metabolic","ApoA1","Squamous cell lung cancer",284,276,"Standard",0.0554227902754471,0.0430188230261497,0.197628283379065,1.05698740421547,0.971519340143039,1.14997440247116,"1.057 (0.972-1.150)",0.00555002832718267,0.47776984603751,0.67822204994465,FALSE,FALSE
"Metabolic","IGF1","Lung cancer",395,373,"Standard",0.0162635516637084,0.0374198163122409,0.663835344021669,1.01639652310466,0.944519177069829,1.09374369230289,"1.016 (0.945-1.094)",2.35878133385004e-15,0.954911038278339,0.93801660629874,FALSE,FALSE
"Metabolic","IGF1","Lung adenocarcinoma",395,388,"Standard",0.0274849008881466,0.0464879209505288,0.554368523736723,1.02786609512494,0.938350789218334,1.12592084074176,"1.028 (0.938-1.126)",2.82182907123482e-07,0.321581593107611,0.887693765295547,FALSE,FALSE
"Metabolic","IGF1","Squamous cell lung cancer",395,387,"Standard",0.00526745749514488,0.0540758368341414,0.922401828236246,1.00528135494006,0.90418510019241,1.11768110575487,"1.005 (0.904-1.118)",3.7326601740047e-08,0.270264138578795,0.9542087878306,FALSE,FALSE
"Metabolic","ApoB_ApoA1_ratio","Lung cancer",72,62,"Standard",0.00822274442791404,0.0517670757798712,0.873793988099594,1.00825664404313,0.910974180459123,1.11592785181329,"1.008 (0.911-1.116)",1.70953465299644e-05,0.147743197852341,0.945974499060275,FALSE,FALSE
"Metabolic","ApoB_ApoA1_ratio","Lung adenocarcinoma",72,65,"Standard",0.0626513210378882,0.0544892850082195,0.250229724526042,1.06465555151225,0.956812647264568,1.1846534915758,"1.065 (0.957-1.185)",0.0828813362070954,0.692445855313131,0.726473393785282,FALSE,FALSE
"Metabolic","ApoB_ApoA1_ratio","Squamous cell lung cancer",72,65,"Standard",-0.0101310881054908,0.0562804377977962,0.85714406897716,0.989920058498302,0.886529616047263,1.10536828604386,"0.990 (0.887-1.105)",0.426833265534186,0.243688213185186,0.945974499060275,FALSE,FALSE
"Metabolic","HDL_diameter","Lung cancer",96,85,"Standard",0.0143783831729528,0.0354695013588793,0.685203250898627,1.01448224933641,0.946350908502832,1.08751862017743,"1.014 (0.946-1.088)",0.00468946450919455,0.439367284343791,0.93801660629874,FALSE,FALSE
"Metabolic","HDL_diameter","Lung adenocarcinoma",96,87,"Standard",0.0166180994876206,0.0399666886791332,0.677557268256581,1.01675694817035,0.940149277642769,1.09960696267799,"1.017 (0.940-1.100)",0.510407361476045,0.734199242798662,0.93801660629874,FALSE,FALSE
"Metabolic","HDL_diameter","Squamous cell lung cancer",96,87,"Standard",0.00632460874234748,0.0528027051904854,0.904658915096405,1.00634465131174,0.907402920309419,1.11607482691197,"1.006 (0.907-1.116)",0.0263126772436053,0.115114395194723,0.946736073938098,FALSE,FALSE
"Metabolic","HDL_large","Lung cancer",101,88,"Standard",0.00456503137482392,0.0328089982566517,0.889339824700258,1.00457546700417,0.942008854085713,1.07129764707585,"1.005 (0.942-1.071)",0.0439238693502561,0.931426922993353,0.945974499060275,FALSE,FALSE
"Metabolic","HDL_large","Lung adenocarcinoma",101,94,"Standard",0.00527557220759272,0.0393765512834056,0.893420360223593,1.00528951254228,0.930621656489991,1.08594829808624,"1.005 (0.931-1.086)",0.853899509862652,0.538519758783159,0.945974499060275,FALSE,FALSE
"Metabolic","HDL_large","Squamous cell lung cancer",101,94,"Standard",0.00208987935894675,0.0475863923439565,0.964970099221813,1.0020920646789,0.912853884903804,1.10005393272577,"1.002 (0.913-1.100)",0.224015634630913,0.553000742125747,0.964970099221813,FALSE,FALSE
"Metabolic","remnant_cholesterol","Lung cancer",53,49,"Standard",-0.0184228538170015,0.0531904859973617,0.729075048794223,0.981745809612306,0.884550027859508,1.08962162041151,"0.982 (0.885-1.090)",0.00209795005631263,0.431942714608387,0.945974499060275,FALSE,FALSE
"Metabolic","remnant_cholesterol","Lung adenocarcinoma",53,49,"Standard",0.0686801975791204,0.0625494355684905,0.272198085397903,1.07109361603882,0.94751103454544,1.21079490633002,"1.071 (0.948-1.211)",0.0686334046242611,0.217707147940413,0.742358414721553,FALSE,FALSE
"Metabolic","remnant_cholesterol","Squamous cell lung cancer",53,49,"Standard",-0.0414861284855385,0.0664544106055895,0.532444022170713,0.95936264306195,0.842200833763098,1.09282328395522,"0.959 (0.842-1.093)",0.236134806657376,0.217548294366922,0.871272036279349,FALSE,FALSE
"Metabolic","LDL_small","Lung cancer",57,51,"Standard",-0.0315530724858014,0.0457169000522087,0.490078490168963,0.96893953105961,0.88589380312993,1.05977015702448,"0.969 (0.886-1.060)",0.0894510002217263,0.608492872586068,0.864844394415817,FALSE,FALSE
"Metabolic","LDL_small","Lung adenocarcinoma",57,52,"Standard",0.069459456844403,0.0627152233858108,0.268061642011298,1.07192860095571,0.947941600955926,1.21213260857859,"1.072 (0.948-1.212)",0.030652096721647,0.911059303987738,0.742358414721553,FALSE,FALSE
"Metabolic","LDL_small","Squamous cell lung cancer",57,52,"Standard",-0.0317061532981105,0.0617095921193609,0.607394492197248,0.968791216361474,0.858424150405306,1.09334810822366,"0.969 (0.858-1.093)",0.40413317016416,0.827390082736329,0.911091738295872,FALSE,FALSE
"Metabolic","BCAA","Lung cancer",17,14,"Standard",0.0610939374371198,0.0832920767122972,0.463259389880014,1.0629987648769,0.902886403105303,1.25150447525127,"1.063 (0.903-1.252)",0.340300703808756,0.723294907548067,0.864844394415817,FALSE,FALSE
"Metabolic","BCAA","Lung adenocarcinoma",17,15,"Standard",0.0232547451312798,0.139588805625257,0.867689020947133,1.02352724492147,0.778536569972999,1.3456118331511,"1.024 (0.779-1.346)",0.0563554148599888,0.847859987275597,0.945974499060275,FALSE,FALSE
"Metabolic","BCAA","Squamous cell lung cancer",17,15,"Standard",0.179612252250889,0.127866960271956,0.160116245067844,1.19675323477224,0.931455381341497,1.53761343122535,"1.197 (0.931-1.538)",0.389316931847135,0.645505738870033,0.67822204994465,FALSE,FALSE
"Metabolic","HDL_very_large","Lung cancer",89,76,"Standard",0.00467438584989489,0.0346515574198895,0.892693432259688,1.00468532783381,0.93871565102498,1.07529112448735,"1.005 (0.939-1.075)",0.017284079421055,0.546359332129401,0.945974499060275,FALSE,FALSE
"Metabolic","HDL_very_large","Lung adenocarcinoma",89,83,"Standard",-0.00974108584132856,0.0427015717778369,0.819552892373734,0.990306204856539,0.910796154853394,1.07675726796982,"0.990 (0.911-1.077)",0.203322069651894,0.53040588301339,0.945974499060275,FALSE,FALSE
"Metabolic","HDL_very_large","Squamous cell lung cancer",89,83,"Standard",0.0316425679001672,0.0470682248968978,0.501411657695508,1.03214851635326,0.941189147302954,1.1318984742472,"1.032 (0.941-1.132)",0.38324560646254,0.425954935896859,0.867827869088379,FALSE,FALSE
"Metabolic","BMI","Lung cancer",501,478,"Standard",0.191087027795537,0.0481466930204832,7.22201643280046e-05,1.21056480028305,1.10155135556711,1.33036660367947,"1.211 (1.102-1.330)",5.3186803915504e-17,0.274235587438863,0.00129996295790408,TRUE,TRUE
"Metabolic","BMI","Lung adenocarcinoma",501,499,"Standard",0.0482766818081328,0.0580876682389372,0.405916938109883,1.04946098192062,0.936528665915006,1.17601136266099,"1.049 (0.937-1.176)",6.8651436157044e-06,0.557614633387613,0.83083517948701,FALSE,FALSE
"Metabolic","BMI","Squamous cell lung cancer",501,499,"Standard",0.355928291877648,0.0698425231991062,3.46622198820924e-07,1.42750518087743,1.24487726958066,1.63692525458221,"1.428 (1.245-1.637)",7.4289972613976e-10,0.476332907938456,1.03986659646277e-05,TRUE,TRUE
"Metabolic","HDL_cholesterol","Lung cancer",356,311,"Standard",-0.0266022888533508,0.0336703203088925,0.429480317574445,0.97374843513031,0.911561590499285,1.04017767400597,"0.974 (0.912-1.040)",5.00844140999008e-11,0.033384141305336,0.840287577863045,FALSE,FALSE
"Metabolic","HDL_cholesterol","Lung adenocarcinoma",356,328,"Standard",-0.0314830944592536,0.0417957847997964,0.451293667475277,0.969007337908305,0.892790942311604,1.05173022755916,"0.969 (0.893-1.052)",1.85621709646822e-05,0.00517826496299382,0.86417936325053,FALSE,FALSE
"Metabolic","HDL_cholesterol","Squamous cell lung cancer",356,328,"Standard",-0.00976152646851476,0.0475149430137613,0.837227441013694,0.990285962583488,0.902225477795165,1.08694147064704,"0.990 (0.902-1.087)",5.53817051215651e-05,0.114918204046122,0.945974499060275,FALSE,FALSE
"Metabolic","LDL_cholesterol","Lung cancer",179,153,"Standard",0.0297230400839549,0.0569620508395978,0.601806631899244,1.03016917887009,0.921343286736312,1.15184921013876,"1.030 (0.921-1.152)",3.39275180977179e-15,0.130949686361329,0.911091738295872,FALSE,FALSE
"Metabolic","LDL_cholesterol","Lung adenocarcinoma",179,157,"Standard",0.113817807144488,0.0620168933906525,0.0664655428719271,1.12054795045432,0.992294536570753,1.26537803342814,"1.121 (0.992-1.265)",4.25300892769275e-05,0.128317718950093,0.498491571539454,FALSE,FALSE
"Metabolic","LDL_cholesterol","Squamous cell lung cancer",179,157,"Standard",0.0319726234200484,0.0714040214066699,0.654318744157225,1.032489238894,0.897646214733077,1.18758817330825,"1.032 (0.898-1.188)",2.91436480092251e-05,0.1023248057075,0.93801660629874,FALSE,FALSE
"Metabolic","smoking_initiation","Lung cancer",93,85,"Standard",0.493950307891779,0.0727476872448436,1.12202890421334e-11,1.63877712448018,1.42100567232633,1.88992240919275,"1.639 (1.421-1.890)",0.000624266042453934,0.723773496147899,1.00982601379201e-09,TRUE,TRUE
"Metabolic","smoking_initiation","Lung adenocarcinoma",93,91,"Standard",0.36923619286764,0.0839935308733035,1.10260118491641e-05,1.44662924683653,1.22704503985819,1.70550885242542,"1.447 (1.227-1.706)",0.109335783416729,0.387999734990875,0.000248085266606192,TRUE,TRUE
"Metabolic","smoking_initiation","Squamous cell lung cancer",93,91,"Standard",0.622050533076103,0.1113810305577,2.33851449636335e-08,1.8627437460591,1.49742012873798,2.31719488531696,"1.863 (1.497-2.317)",0.000411045161463113,0.400937203548057,1.05233152336351e-06,TRUE,TRUE
"Metabolic","alcohol_drinks","Lung cancer",35,34,"Standard",0.444404156689156,0.144913574028041,0.00216447456657789,1.55956066514266,1.17394931973499,2.07183515282354,"1.560 (1.174-2.072)",0.00362822899475874,0.672398836031905,0.0324671184986684,TRUE,TRUE
"Metabolic","alcohol_drinks","Lung adenocarcinoma",35,33,"Standard",0.514604338458182,0.193643374115544,0.00787261222374439,1.67297643839261,1.1446092646575,2.44524507169207,"1.673 (1.145-2.445)",0.00602904356999333,0.101281661687917,0.0885668875171244,FALSE,TRUE
"Metabolic","alcohol_drinks","Squamous cell lung cancer",35,33,"Standard",0.205800203911885,0.202715064601423,0.310001401496419,1.22850772843524,0.825702018716641,1.82781585198357,"1.229 (0.826-1.828)",0.0835170372183264,0.629306540683975,0.769197353792211,FALSE,FALSE
"Metabolic","fasting_glucose","Lung cancer",69,69,"Standard",0.0930041795297924,0.0920128905503703,0.312124911148498,1.09746632215169,0.916364483272995,1.3143594609377,"1.097 (0.916-1.314)",0.00169673887647367,0.22071387375442,0.769197353792211,FALSE,FALSE
"Metabolic","fasting_glucose","Lung adenocarcinoma",69,69,"Standard",0.0347389384741104,0.116522384184191,0.765603158911413,1.03534938362549,0.82395040867806,1.30098648521032,"1.035 (0.824-1.301)",0.0387099709160407,0.37513353515853,0.945974499060275,FALSE,FALSE
"Metabolic","fasting_glucose","Squamous cell lung cancer",69,69,"Standard",0.207960986069945,0.12862590422998,0.10592376919163,1.23116513602138,0.956814456940966,1.58418132288742,"1.231 (0.957-1.584)",0.0982737245483315,0.176914689181948,0.616320658003423,FALSE,FALSE
"Metabolic","fasting_insulin","Lung cancer",38,37,"Standard",0.27851512805856,0.160184446162746,0.0820848746501791,1.32116659193038,0.965174479301621,1.80846178702935,"1.321 (0.965-1.808)",0.101248131439494,0.5691491002175,0.543901389767517,FALSE,FALSE
"Metabolic","fasting_insulin","Lung adenocarcinoma",38,38,"Standard",0.449309586236448,0.203273238755185,0.0270793175574131,1.56722977487035,1.052211393243,2.33433051857568,"1.567 (1.052-2.334)",0.263436349628044,0.691071862974322,0.221558052742471,FALSE,TRUE
"Metabolic","fasting_insulin","Squamous cell lung cancer",38,38,"Standard",0.230337764079832,0.21888087930666,0.292642203916745,1.25902519160521,0.819821406528723,1.93352408277352,"1.259 (0.820-1.934)",0.793410421744138,0.291157436324816,0.769197353792211,FALSE,FALSE
"Metabolic","SBP","Lung cancer",461,443,"Standard",-0.00406988060352814,0.0025434570386385,0.109568116978386,0.995938390136423,0.990985817160104,1.00091571420268,"0.996 (0.991-1.001)",4.63146694400293e-07,0.146046452267885,0.616320658003423,FALSE,FALSE
"Metabolic","SBP","Lung adenocarcinoma",461,458,"Standard",-0.0029548433128401,0.00338320559503834,0.382452894650265,0.997049517939998,0.990459872254916,1.00368300531061,"0.997 (0.990-1.004)",2.89470216506028e-05,0.546018040175226,0.83083517948701,FALSE,FALSE
"Metabolic","SBP","Squamous cell lung cancer",461,458,"Standard",-0.00843733971101163,0.00379774772232284,0.0263056594058557,0.991598154743282,0.984244511750221,0.999006739434899,"0.992 (0.984-0.999)",0.00038056064191973,0.586281236373381,0.221558052742471,FALSE,TRUE
"Metabolic","DBP","Lung cancer",460,442,"Standard",-0.00578553935754565,0.00450861683894646,0.1994156279804,0.994231164645868,0.985483960159615,1.00305600975279,"0.994 (0.985-1.003)",1.56921874595954e-10,0.877141591869313,0.67822204994465,FALSE,FALSE
"Metabolic","DBP","Lung adenocarcinoma",460,456,"Standard",0.00241584083271549,0.006013513996899,0.687878844619076,1.00241876132752,0.990673121090443,1.01430366048023,"1.002 (0.991-1.014)",1.74637448057454e-08,0.707526543561925,0.93801660629874,FALSE,FALSE
